YTDreturn,company,number,symbol
   37.60%,META PLATFORMS INC CLASS A,2,META
   33.25%,CONSTELLATION ENERGY,3,CEG
   31.24%,ELI LILLY + CO,4,LLY
   29.53%,CATALENT INC,5,CTLT
   29.12%,TAPESTRY INC,6,TPR
   27.90%,UBER TECHNOLOGIES INC,7,UBER
   26.63%,RALPH LAUREN CORP,8,RL
   26.05%,JUNIPER NETWORKS INC,9,JNPR
   25.17%,APPLIED MATERIALS INC,10,AMAT
   23.58%,NETFLIX INC,11,NFLX
   22.16%,VIATRIS INC,12,VTRS
   21.90%,HOWMET AEROSPACE INC,13,HWM
   21.80%,DAVITA INC,14,DVA
   21.19%,WALT DISNEY CO/THE,15,DIS
   20.75%,ADVANCED MICRO DEVICES,16,AMD
   20.66%,PROGRESSIVE CORP,17,PGR
   20.65%,GENERAL ELECTRIC CO,18,GE
   20.02%,WR BERKLEY CORP,19,WRB
   19.66%,GE HEALTHCARE TECHNOLOGY,20,GEHC
   19.53%,SOUTHWEST AIRLINES CO,21,LUV
   19.51%,FORTINET INC,22,FTNT
   19.11%,HARTFORD FINANCIAL SVCS GRP,23,HIG
   18.83%,LAM RESEARCH CORP,24,LRCX
   18.35%,MERCK + CO. INC.,25,MRK
   18.28%,BROWN + BROWN INC,26,BRO
   17.97%,UNITED RENTALS INC,27,URI
   17.75%,EATON CORP PLC,28,ETN
   17.62%,STRYKER CORP,29,SYK
   17.44%,ARCH CAPITAL GROUP LTD,30,ACGL
   17.00%,WW GRAINGER INC,31,GWW
   16.96%,FORTIVE CORP,32,FTV
   16.94%,LEIDOS HOLDINGS INC,33,LDOS
   16.86%,INGERSOLL RAND INC,34,IR
   16.82%,TRACTOR SUPPLY COMPANY,35,TSCO
   16.56%,KLA CORP,36,KLAC
   16.48%,TRAVELERS COS INC/THE,37,TRV
   16.36%,AMERICAN EXPRESS CO,38,AXP
   16.24%,TRANE TECHNOLOGIES PLC,39,TT
   16.13%,TRIMBLE INC,40,TRMB
   16.12%,BROADCOM INC,41,AVGO
   16.10%,VULCAN MATERIALS CO,42,VMC
   16.08%,TRANSDIGM GROUP INC,43,TDG
   16.01%,WASTE MANAGEMENT INC,44,WM
   16.00%,HCA HEALTHCARE INC,45,HCA
   15.71%,BUILDERS FIRSTSOURCE INC,46,BLDR
   15.67%,CHIPOTLE MEXICAN GRILL INC,47,CMG
   15.50%,ABBVIE INC,48,ABBV
   15.46%,ARISTA NETWORKS INC,49,ANET
   15.37%,PARKER HANNIFIN CORP,50,PH
   15.35%,MARATHON PETROLEUM CORP,51,MPC
   15.16%,CENCORA INC,52,COR
   15.05%,CORTEVA INC,53,CTVA
   14.91%,BOSTON SCIENTIFIC CORP,54,BSX
   14.75%,DIAMONDBACK ENERGY INC,55,FANG
   14.65%,BERKSHIRE HATHAWAY INC CL B,56,BRK.B
   14.58%,ULTA BEAUTY INC,57,ULTA
   14.55%,INTUITIVE SURGICAL INC,58,ISRG
   14.41%,MASCO CORP,59,MAS
   14.29%,AUTOZONE INC,60,AZO
   14.26%,ALIGN TECHNOLOGY INC,61,ALGN
   14.22%,AMAZON.COM INC,62,AMZN
   14.04%,WILLIS TOWERS WATSON PLC,63,WTW
   14.01%,PACCAR INC,64,PCAR
   13.97%,ALLSTATE CORP,65,ALL
   13.86%,O REILLY AUTOMOTIVE INC,66,ORLY
   13.82%,SALESFORCE INC,67,CRM
   13.79%,THE CIGNA GROUP,68,CI
